Term,Definition,Category,Favorite
Abandonment,Giving up ownership of damaged property to the insurer; generally not permitted unless accepted.,P&C - Property,
Absolute Assignment,Transfers all ownership rights in the policy to another party.,Life - Policy Provisions,
Accelerated Death Benefit Rider,Allows an eligible insured to receive part of the life insurance death benefit early after a qualifying terminal or serious illness.,Life - Riders,
Accidental Death Rider,Pays an additional benefit if death results from a covered accident.,Life - Riders,
Accumulation Period,The time during which money is paid into an annuity.,Life - Annuities,
Activities of Daily Living (ADLs),"Basic self-care functions—such as bathing, dressing, toileting, transferring, continence, and eating—used to assess long-term care eligibility.",Health - Long-Term Care,
Actual Cash Value (ACV),Replacement cost minus depreciation at the time of loss.,P&C - Property,
Additional Insured,A person or organization added to a policy with limited coverage rights.,P&C - Contracts,
Additional Interest,A person or organization listed on a policy because of a financial interest.,P&C - Contracts,
Additional Living Expense (ALE),Pays necessary increases in living expenses when a covered loss makes the insured residence unfit to live in.,P&C - Homeowners,
Adhesion Contract,A contract written by one party that must be accepted or rejected as written.,P&C - Contracts,
Adjustable Life,"A permanent policy allowing changes to premiums, face amount, or coverage period.",Life - Policy Types,
Admitted Insurer,An insurer licensed by the state insurance department.,P&C - California Law,
Adult Day Care,Supervised daytime care for adults needing assistance.,Health - Long-Term Care,
Adult Foster Care,Residential care provided in a home-like setting for adults needing assistance.,Health - Long-Term Care,
Adverse Selection,The tendency for people with greater-than-average risk to seek or retain insurance more readily than lower-risk people.,Life - Underwriting,
Affidavit,A written statement of facts sworn or affirmed under oath before an authorized official.,Legal & Regulatory,
Affiliate,A person or organization connected with or controlled by another organization.,Insurance Operations,
Aleatory,Dependent on chance or an uncertain event.,General Vocabulary,
Aleatory Contract,A contract in which unequal values may be exchanged depending on an uncertain event.,P&C - Contracts,
Amend,"To formally change, add to, or correct a document, law, or agreement.",Legal & Regulatory,
Annuitant,The person whose life expectancy is used to determine annuity payments.,Life - Annuities,
Annuitization,The process of converting an annuity into periodic income payments.,Life - Annuities,
Annuity,"An insurance contract designed to accumulate funds and/or provide a stream of income, often for retirement.",Life - Annuities,
Any Occupation,A disability definition based on the inability to perform any occupation for which the insured is reasonably suited.,Health - Disability,
Applicant,The person applying for an insurance policy.,Life - Basics,
Appraisal,A method for resolving disagreements about the amount of a covered loss.,P&C - Property,
Assignment,The transfer of policy rights to another person or entity.,Life - Policy Provisions,
Attending Physician Statement (APS),A report from the applicant's physician used during underwriting.,Life - Underwriting,
Automatic Premium Loan,Uses policy cash value to pay an overdue premium if elected.,Life - Policy Provisions,
Bailee,A person or business temporarily responsible for another person's property.,P&C - Commercial,
Beneficiary,The person or entity designated to receive policy proceeds.,Life - Basics,
Benefit Period,The maximum length of time disability benefits are payable.,Health - Disability,
Binder,Temporary evidence of insurance that provides coverage until the policy is issued or declined.,P&C - Contracts,
Binding Receipt,"A receipt providing temporary coverage from the stated effective date while the application is being underwritten, subject to the receipt's terms.",Life - Underwriting,
Blanket Insurance,Coverage applying one limit across multiple properties or locations.,P&C - Commercial,
Bodily Injury,"Physical harm, sickness, or disease suffered by a person.",P&C - Liability,
Builders Risk,Covers buildings while they are under construction.,P&C - Commercial,
Burglary,Taking property by unlawful entry with visible signs of forced entry.,P&C - Commercial,
Business Income,Covers loss of income when business operations are interrupted by a covered loss.,P&C - Commercial,
Business Personal Property,"Furniture, equipment, inventory, and other business-owned personal property.",P&C - Commercial,
Businessowners Policy (BOP),A package policy combining commercial property and liability coverage for eligible businesses.,P&C - Commercial,
Buy-Sell Agreement,A business agreement often funded with life insurance to transfer ownership upon death.,Life - Business Uses,
Cancellation,Termination of a policy before its expiration date.,P&C - Contracts,
Case Management,Coordination of healthcare services to improve quality and control costs.,Health - Medical Plans,
Cash Surrender,The nonforfeiture option of receiving the policy's cash value and terminating coverage.,Life - Policy Provisions,
Cash Value,The savings element that builds in certain permanent life insurance policies.,Life - Basics,
Certificate of Insurance,A document providing evidence that insurance coverage exists.,P&C - Contracts,
Chronic,"Continuing for a long time or recurring frequently, especially when describing an illness or medical condition.",Health - Basics,
Claimant,A person or organization requesting payment or benefits under an insurance policy or liability claim.,Claims,
COBRA,A federal law allowing eligible employees and dependents to temporarily continue employer-sponsored group health coverage after certain qualifying events.,Health - Government Programs,
Coercion,"Using force, threats, or intimidation to make someone act against their free will.",Legal & Regulatory,
Cognitive,"Relating to mental processes such as thinking, learning, memory, and judgment.",General Vocabulary,
Coinsurance,The percentage of covered expenses shared by the insured after the deductible.,Health - Basics,
Collateral,Property or another asset pledged to secure repayment of a debt.,General Vocabulary,
Collateral Assignment,Assigns limited policy rights as security for a loan.,Life - Policy Provisions,
Collision Coverage,Pays for damage to the insured vehicle caused by collision.,P&C - Auto,
Commercial Crime Insurance,"Protects businesses against losses from theft, robbery, burglary, forgery, and employee dishonesty.",P&C - Commercial,
Commercial General Liability (CGL),Provides broad liability protection for businesses.,P&C - Commercial,
Commercial Property Policy,Covers buildings and business personal property against covered causes of loss.,P&C - Commercial,
Commercial Umbrella,"Commercial liability coverage providing excess limits and, in some cases, broader protection than underlying policies.",P&C - Commercial,
Comparative Negligence,A rule that reduces damages based on each party's share of fault.,P&C - Liability,
Competent,"Having the necessary knowledge, skill, or qualifications to perform a task effectively.",General Vocabulary,
Concealment,Failure to disclose a material fact that should have been revealed.,P&C - Contracts,
Concealment or Fraud Condition,A policy condition allowing denial of coverage for intentional fraud or concealment.,P&C - Contracts,
Conditional Receipt,A receipt that can provide temporary life insurance coverage if the applicant satisfies stated underwriting conditions.,Life - Underwriting,
Conditionally Renewable,A policy that may be renewed only if specified conditions are met.,Health - Basics,
Conditions,Policy provisions that define the duties of the insurer and the insured.,P&C - Contracts,
Conservator,A person or organization appointed by a court to manage another person's personal or financial affairs.,Legal & Regulatory,
Consideration,"The exchange of value that makes an insurance contract legally binding, such as premium and application statements for the insurer's promise of coverage.",Insurance - Contracts,
Consignment,An arrangement in which goods are entrusted to another party for sale while ownership remains with the consignor until sold.,Insurance Operations,
Continence,The ability to control bladder and bowel functions; one measure considered in long-term care assessment.,Health - Long-Term Care,
Contingent Beneficiary,The beneficiary who receives proceeds if the primary beneficiary is unavailable.,Life - Basics,
Contribution,The sharing of a covered loss among insurers covering the same risk.,P&C - Principles,
Controlled Business,"Insurance written primarily on a producer's own interests, family, employer, or closely related persons rather than the general public.",Life - California Law,
Convertible Term,Term insurance that may be converted to permanent insurance without evidence of insurability.,Life - Policy Types,
Coordination of Benefits (COB),A process determining the order of payment when multiple health plans cover the same person.,Health - Basics,
Copayment,A fixed amount the insured pays for a covered healthcare service.,Health - Basics,
Cost of Living Rider (COLA),Increases benefits periodically to help offset inflation.,Life - Riders,
Coverage A,Coverage for the dwelling.,P&C - Homeowners,
Coverage B,Coverage for other structures separated from the dwelling.,P&C - Homeowners,
Coverage C,Coverage for personal property.,P&C - Homeowners,
Coverage D,"Homeowners coverage for loss of use, including additional living expense and certain fair rental value losses after a covered loss.",P&C - Homeowners,
Coverage E,Personal liability coverage.,P&C - Homeowners,
Coverage F,Medical payments to others regardless of fault.,P&C - Homeowners,
Custodial Care,Nonmedical assistance with daily living activities.,Health - Long-Term Care,
DBA,Doing business as; a name a business uses that differs from its legal name.,Legal & Regulatory,
Death Benefit,The amount paid to the beneficiary when the insured dies.,Life - Basics,
Declarations,"The policy section identifying the insured, property, coverage, limits, and premium.",P&C - Contracts,
Decreasing Term,Term insurance with a death benefit that decreases over time.,Life - Policy Types,
Deductible,The amount the insured must pay toward a covered loss or expense before the insurer pays its share.,Insurance - Basics,
Defamation,A false statement communicated to others that harms a person or organization's reputation.,Legal & Regulatory,
Deferred Annuity,An annuity in which income payments begin at a future date.,Life - Annuities,
Depreciation,"The decrease in property value caused by age, wear, or obsolescence.",P&C - Property,
